date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:46	2364/2364	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20May%202025%2019:32:45%20GMT	http://192.168.1.35:8000/robots.txt		(from )
22:32:46	7338/7338	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:32:46%20GMT	http://192.168.1.35:8000/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/index.html	(from )
22:32:46	1959/1959	---M--	200	added ('OK')	image/png	etag:%2261c3685d-7a7%22	http://192.168.1.35:8000/static/site/apple-touch-icon.png	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/apple-touch-icon.png	(from http://192.168.1.35:8000/)
22:32:47	434/434	---M--	200	added ('OK')	image/png	etag:%2261c3685d-1b2%22	http://192.168.1.35:8000/static/site/favicon-32x32.png	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/favicon-32x32.png	(from http://192.168.1.35:8000/)
22:32:47	294/294	---M--	200	added ('OK')	image/png	etag:%2261c3685d-126%22	http://192.168.1.35:8000/static/site/favicon-16x16.png	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/favicon-16x16.png	(from http://192.168.1.35:8000/)
22:32:47	263/263	---M--	200	added ('OK')	application/octet-stream	etag:%2261c3685d-107%22	http://192.168.1.35:8000/static/site/site.webmanifest	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/site.webmanifest	(from http://192.168.1.35:8000/)
22:32:47	6343/6343	---M--	200	added ('OK')	text/css	etag:%2261c3685d-18c7%22	http://192.168.1.35:8000/static/site/prism.css	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/prism.css	(from http://192.168.1.35:8000/)
22:32:48	2068/2068	---M--	200	added ('OK')	text/css	etag:%2261c3685d-814%22	http://192.168.1.35:8000/static/site/sitebody.css	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/sitebody.css	(from http://192.168.1.35:8000/)
22:32:54	62731/62731	---M--	200	added ('OK')	application/javascript	etag:%2261c3685d-f50b%22	http://192.168.1.35:8000/static/site/prism.js	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/prism.js	(from http://192.168.1.35:8000/)
22:32:55	8893/8893	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:32:54%20GMT	http://192.168.1.35:8000/ders-notu/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ders-notu/index.html	(from http://192.168.1.35:8000/)
22:32:56	26775/26775	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:32:55%20GMT	http://192.168.1.35:8000/blog/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/blog/index.html	(from http://192.168.1.35:8000/)
22:32:58	44130/44130	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:32:57%20GMT	http://192.168.1.35:8000/ornek/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ornek/index.html	(from http://192.168.1.35:8000/)
22:33:06	191999/191999	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:04%20GMT	http://192.168.1.35:8000/dizin/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/dizin/index.html	(from http://192.168.1.35:8000/)
22:33:07	11258/11258	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:06%20GMT	http://192.168.1.35:8000/sss/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/sss/index.html	(from http://192.168.1.35:8000/)
22:33:17	217802/217802	---M--	200	added ('OK')	image/jpeg	etag:%2261c3685d-352ca%22	http://192.168.1.35:8000/static/site/suleyman-ogrekci-2.jpg	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/suleyman-ogrekci-2.jpg	(from http://192.168.1.35:8000/)
22:33:18	228972/228972	---M--	200	added ('OK')	image/png	etag:%2261c3685d-37e6c%22	http://192.168.1.35:8000/static/site/suleyman-ogrekci.png	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/suleyman-ogrekci.png	(from http://192.168.1.35:8000/)
22:33:40	761213/761213	---M--	200	added ('OK')	application/pdf	etag:%2261c3685d-b9d7d%22	http://192.168.1.35:8000/static/site/cv_suleyman_ogrekci_en.pdf	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/static/site/cv_suleyman_ogrekci_en.pdf	(from http://192.168.1.35:8000/)
22:33:42	48776/48776	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:40%20GMT	http://192.168.1.35:8000/ders-notu/lineer-cebire-giris/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ders-notu/lineer-cebire-giris/index.html	(from http://192.168.1.35:8000/ders-notu/)
22:33:42	39855/39855	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:40%20GMT	http://192.168.1.35:8000/ders-notu/python-ve-bilimsel-hesaplama/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ders-notu/python-ve-bilimsel-hesaplama/index.html	(from http://192.168.1.35:8000/ders-notu/)
22:33:42	73478/73478	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:41%20GMT	http://192.168.1.35:8000/ders-notu/fourier-analizi/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ders-notu/fourier-analizi/index.html	(from http://192.168.1.35:8000/ders-notu/)
22:33:42	24382/24382	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:41%20GMT	http://192.168.1.35:8000/ders-notu/latexe-giris/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ders-notu/latexe-giris/index.html	(from http://192.168.1.35:8000/ders-notu/)
22:33:43	7588/7588	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:42%20GMT	http://192.168.1.35:8000/ders-notu/spss-ile-veri-analizi/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ders-notu/spss-ile-veri-analizi/index.html	(from http://192.168.1.35:8000/ders-notu/)
22:33:43	24611/24611	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20May%202025%2019:33:42%20GMT	http://192.168.1.35:8000/ders-notu/derin-ogrenme/	C:/My%20Web%20Sites/sogrekcisiir/192.168.1.35_8000/ders-notu/derin-ogrenme/index.html	(from http://192.168.1.35:8000/ders-notu/)
